cve_id,mod_date,pub_date,cvss,cwe_code,cwe_name,summary,access_authentication,access_complexity,access_vector,impact_availability,impact_confidentiality,impact_integrity
CVE-2005-2352,06/11/2019 21:44,01/11/2019 21:15,6.8,362, Concurrent Execution using Shared Resource with Improper Synchronization ('Race Condition'),I race condition in Temp files was found in gs-gpl before 8.56 addons scripts.,NONE,MEDIUM,NETWORK,PARTIAL,PARTIAL,PARTIAL
CVE-2005-3056,05/11/2019 14:33,01/11/2019 13:15,7.5,74, Neutralization of Special Elements in Output Used by a Downstream Component ('Injection'),TWiki allows arbitrary shell command execution via the Include function,NONE,LOW,NETWORK,PARTIAL,PARTIAL,PARTIAL
CVE-2005-2350,04/11/2019 21:06,01/11/2019 18:15,4.3,79, Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),Cross-site scripting (XSS) vulnerability in websieve v0.62 allows remote attackers to inject arbitrary web script or HTML code in the web user interface.,NONE,MEDIUM,NETWORK,NONE,NONE,PARTIAL
CVE-2005-2351,01/11/2019 19:22,01/11/2019 19:15,2.1,668, Exposure of Resource to Wrong Sphere,Mutt before 1.5.20 patch 7 allows an attacker to cause a denial of service via a series of requests to mutt temporary files.,,,,,,
CVE-2002-2444,01/11/2019 14:15,28/10/2019 14:15,7.5,20, Improper Input Validation,Snoopy before 2.0.0 has a security hole in exec cURL,NONE,LOW,NETWORK,PARTIAL,PARTIAL,PARTIAL
CVE-2005-2349,01/11/2019 14:15,28/10/2019 14:15,5,22, Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),Zoo 2.10 has Directory traversal,NONE,LOW,NETWORK,NONE,PARTIAL,NONE
CVE-2002-2439,31/10/2019 02:39,23/10/2019 18:15,4.6,190, Integer Overflow or Wraparound,Integer overflow in the new[] operator in gcc before 4.8.0 allows attackers to have unspecified impacts.,NONE,LOW,LOCAL,PARTIAL,PARTIAL,PARTIAL
CVE-2005-2035,10/10/2019 11:19,16/06/2005 04:00,7.5,89, Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),SQL injection vulnerability in login.asp for Cool Cafe (Cool Caf?) Chat 1.2.1 allows remote attackers to execute arbitrary SQL commands via the password.,NONE,LOW,NETWORK,PARTIAL,PARTIAL,PARTIAL
CVE-2005-2036,10/10/2019 11:19,16/06/2005 04:00,7.5,200, Information Exposure,modifyUser.asp in Cool Cafe (Cool Caf?) Chat 1.2.1 allows remote attackers to obtain the administrator password and email address via a modified nickname value.,NONE,LOW,NETWORK,PARTIAL,PARTIAL,PARTIAL
CVE-2003-0497,10/10/2019 11:17,07/08/2003 04:00,7.2,264, Permissions Privileges and Access Controls,"Cach? Database 5.x installs /cachesys/bin/cache with world-writable permissions, which allows local users to gain privileges by modifying cache and executing it via cuxs.",NONE,LOW,LOCAL,COMPLETE,COMPLETE,COMPLETE
